question,answer
Why doesn't Japan just divide the Yen by 100? ,"What benefit vs. what cost? Benefit - none that I can think of. Cost - massive. Every system that handles money would need to re-value overnight, every store would need to re-price. In many ways it would be simpler and maybe even cheaper to introduce a new currency."
Postbank (Germany) - transferring money to the US - what are the best options?,"For those who are interested, I am answering my own question: We used Postbank and transferred 6000 Euro, we chose to Transfer in US$, and selected Shared Fees. There were three fees in total: All in all, I paid ~37$; this is about half of what I expected; and I got a perfect exchange rate. Postbank might have its downsides, but it seems they are still a good deal."
What is a good investment vehicle for introducing kids to investing?,"I'd also look into index funds (eg Vanguard) as they have low management fees. you can buy these as ETFs as well - so you can buy in at a very low starting amount. An index fund can also be a talking point for your kids about what an industry index is and how it relates to the companies that fall into it. Also about how mutual funds try to ""beat the market"" - and often fail."
"Are Index Funds really as good as ""experts"" claim?",A lot of it boils down to these key points:
Lowest Interest Options for Short-Term Loan,"Also talk to your bank(s) or credit union(s); first one of mine I looked at offers an unsecured loan at 7% variable, and a signature loan at 7.5% fixed, no hidden costs on either. You might do better. Also check store credit. Sears used to offer 1-year-0% financing on appliances if you signed up for the store's card at the time of purchase, and if you have the discipline to reliably pay it off before interest hits that's a hard deal to best. Other stores have offered something similar for major purchases of this sort; do some homework to find out who. (I bought my fridge that way, paying it in month 10.) The ""catch""  is that many people get distracted and do wind up paying interest, and the store hopes that having an account with them will encourage you to shop there more often.)"
Full-time work + running small side business: Best business structure for taxes?,"A tax return is a document you sign and file with the government to self-report your tax obligations. A tax refund is the payment you receive from the government if your payments into the tax system exceeded your obligations.  As others have mentioned, if an extra $2K in income generated $5K in taxes, chances are your return was prepared incorrectly. The selection of an appropriate entity type for your business depends a lot on what you expect to see over the next several years in terms of income and expenses, and the extent to which you want or need to pay for fringe benefits or make pretax retirement contributions from your business income. There are four basic flavors of entity which are available to you: Sole proprietorship. This is the simplest option in terms of tax reporting and paperwork required for ongoing operations. Your net (gross minus expenses) income is added to your wage income and you'll pay tax on the total. If your wage income is less than approximately $100K, you'll also owe self-employment tax of approximately 15% in addition to income tax on your business income. If your business runs at a loss, you can deduct the loss from your other income in calculating your taxable income, though you won't be able to run at a loss indefinitely. You are liable for all of the debts and obligations of the business to the extent of all of your personal assets. Partnership. You will need at least two participants (humans or entities) to form a partnership. Individual items of income and expense are identified on a partnership tax return, and each partner's proportionate share is then reported on the individual partners' tax returns. General partners (who actively participate in the business) also must pay self-employment tax on their earnings below approximately $100K. Each general partner is responsible for all of the debts and obligations of the business to the extent of their personal assets. A general partnership can be created informally or with an oral agreement although that's not a good idea. Corporation. Business entities can be taxed as ""S"" or ""C"" corporations. Either way, the corporation is created by filing articles of incorporation with a state government (doesn't have to be the state where you live) and corporations are typically required to file yearly entity statements with the state where they were formed as well as all states where they do business. Shareholders are only liable for the debts and obligations of the corporation to the extent of their investment in the corporation. An ""S"" corporation files an information-only return similar to a partnership which reports items of income and expense, but those items are actually taken into account on the individual tax returns of the shareholders. If an ""S"" corporation runs at a loss, the losses are deductible against the shareholders' other income.  A ""C"" corporation files a tax return more similar to an individual's. A C corporation calculates and pays its own tax at the corporate level. Payments from the C corporation to individuals are typically taxable as wages (from a tax point of view, it's the same as having a second job) or as dividends, depending on how and why the payments are made. (If they're in exchange for effort and work, they're probably wages - if they're payments of business profits to the business owners, they're probably dividends.) If a C corporation runs at a loss, the loss is not deductible against the shareholders' other income.  Fringe benefits such as health insurance for business owners are not deductible as business expenses on the business returns for S corps, partnerships, or sole proprietorships. C corporations can deduct expenses for providing fringe benefits.  LLCs don't have a predefined tax treatment - the members or managers of the LLC choose, when the LLC is formed, if they would like to be taxed as a partnership, an S corporation, or as a C corporation. If an LLC is owned by a single person, it can be considered a ""disregarded entity"" and treated for tax purposes as a sole proprietorship. This option is not available if the LLC has multiple owners.  The asset protection provided by the use of an entity depends quite a bit on the source of the claim. If a creditor/plaintiff has a claim based on a contract signed on behalf of the entity, then they likely will not be able to ""pierce the veil"" and collect the entity's debts from the individual owners. On the other hand, if a creditor/plaintiff has a claim based on negligence or another tort-like action (such as sexual harassment), then it's very likely that the individual(s) involved will also be sued as individuals, which takes away a lot of the effectiveness of the purported asset protection. The entity-based asset protection is also often unavailable even for contract claims because sophisticated creditors (like banks and landlords) will often insist the the business owners sign a personal guarantee putting their own assets at risk in the event that the business fails to honor its obligations.  There's no particular type of entity which will allow you to entirely avoid tax. Most tax planning revolves around characterizing income and expense items in the most favorable ways possible, or around controlling the timing of the appearance of those items on the tax return."
Do new automobiles typically release in low numbers?,"Do new automobiles typically release in low numbers? and later you say  The car released 2 days ago. I called around and discovered local dealers only have ~10 2018's total for all trims. So you are calling local dealers and they have ten after two days.  Let's say you are in New York City, population eight million (about 2.5% of the United States population).  That would suggest that there are around four hundred produced in two days (10 is 2.5% of 400), or two hundred a day.  That would be four thousand a month (assuming four weeks, each with five workdays).  Considering that the most sold in a month were 14,207 in June of 2013 and March's 7727 was the best this year, that seems to be a decent pace if a little slow to start.   Now, let's assume that you are using a local area with a population of only two million.  This could still be New York City if you only call dealers in a quarter of the area.  Their two day pace would put them on a rate to produce sixteen thousand the first month, which is more than they can reasonably expect to sell.   If your local area is an even smaller portion of the US overall, this might not actually be low inventory.   Don't forget that some dealers may also still have 2017 vehicles left.  They might want to sell those before they order too many new vehicles.  Particularly as they may not know what feature packages sell best yet.  If they're willing to tell you that they have three 2018s (and sold a fourth), they should be eager to tell you how many 2017s they have.  A high 2018 price gives them a better chance to sell the 2017s at a profit.   If you really want to check if they are having production problems, ask how long it will be to order a vehicle.  For a US manufactured car, special order should fall in the five to eight weeks range.  If that's what they're quoting, then there probably are not production problems.   When trading with a dealer, do your research, tell them what you believe a fair price is, and then be ready to walk if they won't give it to you.  Be up front.  Tell them that you're willing to pay $X to the first dealer that takes the offer.  You'd prefer that dealer because (whatever--maybe they're closest), but you aren't paying more than $X.  If they let you get in your car and drive away, then they really think they can get a better price."
Buying insurance (extended warranty or guarantee) on everyday goods / appliances?,"I decline politely.   The cost of the insurance policy has two components: The actual cost of a likely repair + profit. If I set aside the cost of a likely repair myself, then I get to keep the profit.   If the item doesn't break, I get to keep the ""repair"" money too :)"
When does it make financial sense to take advantage of employer's tuition reimbursement program?,"If you have decided to do the degree, and are simply deciding whether to accept employer funding for it or not, take the funding. I see no difference between ""my employer doesn't pay my tuition"" and ""my employer paid my tuition but I had to pay it back because I moved on"". Therefore there is no downside to letting them pay the tuition. If you want to move on before the two years (or whatever) is up, you pay back that interest free loan. You are still ahead over self funding the degree. If you have not decided to do the degree, and are letting the employer-funded tuition figure into your decision process, stop that right now. Doing a degree is hard work. You will either work much longer hours than you do now, or live on a lower salary, or more likely both. You might enjoy it, you might be worth more afterwards, and it might open the door to a raft of careers available only to those with the degree. The actual cost of the tuition is unlikely to be significant in this decision process. Removing it (by assuming the employer pays it) should still not be done. If it's worth doing when you self fund, then do it and relax knowing you won't feel trapped at your employer even if you let them pay it (or lend you the money for it if you end up leaving.)"
Investing small amounts at regular intervals while minimizing fees?,"It is difficult to find investment banks that offer both low fees and low minimum investments. If you google around for ""no-fee low-minimum mutual funds"" you can find various articles with recommendations, such as this one.  One fund they mention that looks promising is the Schwab Total Stock Market Index Fund, which apparently has a minimum investment of only $100 and an expense ratio of 0.09%.  (I've never heard of this fund before, so I'm just repeating the info from the site.  Be sure to look into it more thoroughly to see if there are any hidden costs here.  I'm not recommending this fund, just mentioning it as an example of what you may be able to find.) Another possibility is to make use of funds in an existing brokerage account that you use for yourself.  This could allow you to make use of Craig W.'s suggestion about ETFs.  For instance, if you already have a brokerage account at Vanguard or another firm, you could add $100 to the account and buy some particular fund, mentally earmarking it as your daughter's."
Why would you ever turn down a raise in salary?,"If you have children in a university institution, then your annual salary is reported via financial aid forms. The small raise could be the difference between full tuition covered and only half tuition covered."
How can I avoid international wire fees or currency transfer fees?,"My preferred method of doing this is to get a bank draft from the US in Euros and then pay it into the French bank (my countries are Canada and UK, but the principle is the same). The cost of the bank draft is about $8, so very little more than the ATM method. If you use bigger amounts it can be less overall cost. The disadvantage is that a bank draft takes a week or so to write and a few days to clear. So you would have to plan ahead. I would keep enough money in the French account for one visit, and top it up with a new bank draft every visit or two."
Credit cards: How is a cash advance different from a purchase? Why are the fees so high?,"Think about the credit card business model... they have two revenue generators: interest and fees from borrowers and commissions and fees to merchants. The key to a successful credit card is to both sign up lots of borrowers AND lots of merchants. Credit card fortunes have improved dramatically since the 1990's when formerly off-limits merchants like grocery stores began to accept cards. So when a credit card lets you just pull cash out of any ATM, there are a few costs they need to account for when pricing the cost for such a service: Credit card banks have managed to make cash advances both a profit center and a self-serving perk. Knowing that you can always draw upon your credit line for an emergency when cash is necessary makes you less likely to actually carry cash and more likely to just rely on your credit card."
Paying Off Principal of Home vs. Investing In Mutual Fund,"The mathematically correct answer is to invest, because you'll get a higher rate of return. I think that answer is bunk -- owning your home free and clear is a huge burden lifted off of your shoulders. You're at an age where you may find a new job, business, personal or other opportunities will be easier to take advantage of without that burden."
Should I pay cash or prefer a 0% interest loan for home furnishings?,"Read the terms and conditions very carefully. Many zero percent deals have a requirement that you pay back at a certain date, and if you don't, you'll have to pay some enormous percentage. Nobody will remind you of the date, because the lender has the secret hope that you will forget."
"Should I invest in my house, when it's in my wife's name?","It is my opinion that part of having a successful long-term relationship is being committed to the other person's success and well-being. This commitment is a form of investment in and of itself. The returns are typically non-monetary, so it's important to understand what money actually is. Money is a token people exchange for favors. If I go to a deli and ask for a sandwich. I give them tokens for the favor of having received a sandwich. The people at the deli then exchange those tokens for other favors, and that's the entire economy: people doing favors for other people in exchange for tokens that represent more favors. Sometimes being invested in your spouse is giving them a back rub when they've had a hard day. The investment pays off when you have a hard day and they give you a back rub. Sometimes being invested in your spouse is taking them to a masseuse for a professional massage. The investment pays off when they get two tickets to that thing you love. At the small scale it's easy to mostly ignore minor monetary discrepancies. At the large scale (which I think £50k is plenty large enough given your listed net worth) it becomes harder to tell if the opportunity cost will be worth making that investment. It pretty much comes down to: Will the quality-of-life improvements from that investment be better than the quality-of-life improvements you receive from investing that money elsewhere? As far as answering your actual question of: How should I proceed? There isn't a one-size fits all answer to this. It comes down to decisions you have to make, such as: * in theory it's easy to say that everyone should be able to trust their spouse, but in practice there are a lot of people who are very bad at handling money. It can be worthwhile in some instances to keep your spouse at an arms length from your finances for their own good, such as if your spouse has a gambling addiction. With all of that said, it sounds like you're living in a £1.5m house rent-free. How much of an opportunity cost is that to your wife? Has she been freely investing in your well-being with no explicit expectation of being repaid? This can be your chance to provide a return on her investment. If it were me, I'd make the investment in my spouse, and consider it ""rent"" while enjoying the improvements to my quality of life that come with it."
Are 'no interest if paid in in x months' credit cards worth it?,"No, because of the balance transfer fees, which could be 4%. Unless of course you get a deal for 12 months of no payment, and you pay it back in 12 months, in which case a 4% annual interest rate is much less than a loan! At that point you are gambling that you will be responsible with the payments, and the card company is taking the opposite bet."
"Changed from job that had a 401K, and the new one doesn't. How do I answer when filing?","If you had a retirement plan at any time in 2013 you are considered covered by an plan. Are You Covered by an Employer's Retirement Plan? You’re covered by an employer retirement plan for a tax year if your   employer (or your spouse’s employer) has a: Defined contribution plan (profit-sharing, 401(k), stock bonus and money purchase pension plan) and any contributions or forfeitures were   allocated to your account for the plan year ending with or within the   tax year; IRA-based plan (SEP, SARSEP or SIMPLE IRA plan) and you had an amount contributed to your IRA for the plan year that ends with or   within the tax year; or Defined benefit plan (pension plan that pays a retirement benefit spelled out in the plan) and you are eligible to participate for the   plan year ending with or within the tax year. Box 13 on the Form W-2 you receive from your employer should contain a   check in the ""Retirement plan"" box if you are covered. If you are   still not certain, check with your (or your spouse’s) employer. The limits on the amount you can deduct don’t affect the amount you   can contribute. However, you can never deduct more than you actually   contribute. Additional Resources: Publication 590, Individual Retirement Arrangements (IRAs)"
Should I buy a house or am I making silly assumptions that I can afford it?,"Having convinced myself that there is no point of paying someone's   else mortgage Somewhat rhetorical this many years later, but I expect some other kid forcefed the obsession with propping up the housing market might be repeating the nonsense about ""paying someone else's mortgage"" and read this. Will you be buying your own farm to grow your own food, or are you happy with people using the money you spend on food for a mortgage? How about clothes? Will you be weaving your own clothes because you don't want money you spend on clothes to pay someone else's mortgage? What's special about the money you pay for rent that you get annoyed at how someone else spends it? Don't get a mortgage just because you don't like the idea of how other people might spend the money that's no longer yours after you pay them with it. As an aside, at your age with your income and no debt, you could be sensibly investing a lot of money. If you did that for five years, you'd be in a much better position that you would be tying yourself to whatever current scheme the UK is using to desperately prop up house prices."
What is the best way to determine if you should refinance a mortgage?,See the Mortgage Professor's calculators (#3). Go to bankrate and look up rates so you know what to punch in to those calculators.
Can you deduct hobby expenses up to hobby income in Canada?,"Yes, your business needs to be in the business of making money in order for you to deduct the expenses associated with it. I suppose in theory this could mean that if you take in $10,000 and spend $30,000 every year, you not only don't get a net deduction of $20,000 (your loss) but you have to pay tax on $10,000 (your revenue). However this is super fixable. Just only deduct $9500 of your expenses. Tada! Small profit.For all the gory details, including how they consider whether you have an expectation of profits, see http://www.cra-arc.gc.ca/E/pub/gl/p-176r/p-176r-e.html This ""expectation of profit"" rule appears to apply to things like ""I sell home décor items (or home decorating advice) and therefore need to take several multi week trips to exotic vacation destinations every year and deduct them as business expenses."" If you're doing woodworking or knitting in your home and selling on Etsy you don't particularly have any expenses. It's hard to imagine a scenario where you consistently sell for less than the cost of materials and then end up dinged on paying tax on revenue."
Is this follow-up after a car crash a potential scam?,"You wouldn't pay what the quote says, you would pay what the bill says. If the car is used as a taxi then either it's done illegally and not your problem, or they have proper insurance. One reason to go through your insurance is that they know how to handle all these things for you.  If you have only their phone number: You owe them money, so they will contact you."
How to calculate stock price (value) based on given values for equity and debt?,"There is no formula for calculating a stock price based on the financials of a company. A stock price is set by the market and always has a component built into it that is based on something outside of the current valuation of a company using its financials. Essentially, the stock price of a company per share is whatever the best price it can get on the open market. If you are looking at how to evaluate if a stock is a good value at the current price, then look at some of the answers, but I wanted to answer this based on the way you phrased the question."
how derivatives transfer risk from one entity to another,"When you buy a call option, you transfer the risk to the owner of the asset. They are risking losing out on gains that may accumulate in addition to the strike price and paid premium. For example, if you buy a $25 call option on stock XYZ for $1 per contract, then any additional gain above $26 per share of XYZ is missed out on by the owner of the stock and solely benefits the option holder."
Claiming income/deductions on an illegal apartment,"A basement unit would typically rent for less than similar space on a higher floor.  Taxwise, you should be claiming the income, and expenses via schedule E, as if it were legal. Keep in mind, Al Capone was convicted on tax evasion  not his other illegal activities. As long as you treat it as a legitimate business, a rental unit, you will be good with the IRS. The local building department will fine you if they find out."
A calculator that takes into account portfolio rebalancing?,"Quicken has tools for this, but they have some quirks so i hesitate to actually recommend it on that basis."
Cheapest way to wire or withdraw money from US account while living in Europe ,There is a number of cheaper online options that you could use. TranferWise was already mentioned here. Other options i know are Paysera or TransferGo. They state that international transfers are processed on the next day and they are substantially cheaper than those of banks. Currency exchange rate is usually not bad.
"""Convertible -debt/note/bond/debentures"" which of these are the same or different?","They all basically mean the same thing - a type of debt than can be exchanged for (converted into) equity at some point. It's only the mechanics that can be different. A convertible bond is structured just like a regular bond - it (usually) pays periodic interest and has a face value that's due at maturity. The difference is that the bond holder has the option to exchange the debt for equity at some point during the life of the bond.  There can be restrictions on when that conversion is possible, and they typically define a quantity of equity (number of shares) that the bond can be converted into.  If the market price of the shares goes above a price that would make the shares more valuable than the bond, it's in the best interest of the bond holder to convert. A convertible note is typically used to describe a kind of startup financing that does not pay interest or have a face value that's redeemed, but instead is redeemed for equity as part of a later financing round.  Rather than specifying a specific number of shares, the bond holder receives equity at a certain discount to the rest of the market. So they both are debt instruments that can turn into equity investments, just through different mechanisms. A debenture is a fancy word for unsecured debt, and convertible debt could be used to described either structure above, so those terms could mean either type of structure."
"What could a malicious party potentially achieve by having *just* a name, account number, and sort code?","When you want to pay a bill on line there are several ways to do it. You can give them your credit card details: Name on Card, zip code, credit card number, and 3 or 4 digit security code on the back. Most of the information is available on the card or via an easy Google search. If the crook has your card they can use it to buy something.  You can contact your bank's website and establish a one time or recurring transfer. You provide the information about the person/company. Your bank knows who you are because you used a secure system and your password. Their bank accepts the money because who would refuse money, they don't care who you are. You can provide the company with your bank info (bank number, your account number, and your name). If your bank limits their transactions via this method only to legitimate organizations, then your money will only be sent to legitimate organizations. But if the organization has no way of knowing who is on the other end of the phone or webpage, they may be withdrawing money from a bank account without the account owners permission.  In the example article a person found a charity that had lax security standards, they were recognized by the bank as a legitimate organization, so the bank transferred the money. The charity will point to the form and say they had permission from the owner, but in reality they didn't.  The subject of the article was correct, all the info required is on every check. It is just that most people are honest, and the few security hurdles that exist do stop most of the fraud."
15 year mortgage vs 30 year paid off in 15,"Actually the extra payment comes off the back end of the mortgage. So technically the mortgage is ony reduced one month.  However, banks always recalculate the amortization table when the last payment is paid or a payoff amount is requested. There is a difference between the two situations but that is a minor amount. The 30 year note offers flexibility that the 15 does not. Pick one, save money-15 year, get flexibility-30 year."
"Does a rescheduled conference call generally mean ""something's wrong"" with a company?","Insiders (those who are aware of non-public material information, not necessarily employees) are the ones who actually cannot sell once they learned about whatever, by law. Martha Stewart went to jail for that. Any such deviation from the norm triggers abnormal response and avalanche of rumors, so by default investors assume something bad and try to minimize the loss. When dealing with a tiny company (market cap of less than 15M) with a tiny market volume (6.2M), the swings can be very significant. For such a small company, it is safe to assume that something happened that lead them to delay the conference call, and since they didn't tell what happen, investors assume the worst. It might end up as the CEO and CFO having bad stomach after celebrating 100% growth in revenue they were going to announce, but you'll have to wait and see...."
"How credible is Stansberry's video ""End of America""?","I know nothing about the guy, but I think the ""premium"" products (Penny stock recommendations, a newsletter devoted to earning 12% per year, every year, etc) sold by his firm speak for themselves."
"Why are some countries' currencies ""weaker""? ","The answer from littleadv perfectly explains that the mere exchange ratio doesn't say anything. Still it might be worth adding why some currencies are ""weak"" and some ""strong"". Here's the reason: To buy goods of a certain country, you have to exchange your money for currency of that country, especially when you want to buy treasuries of stocks from that country. So, if you feel that, for example, Japanese stocks are going to pick up soon, you will exchange dollars for yen so you can buy Japanese stocks. By the laws of supply and demand, this drives up the price. In contrast, if investors lose faith in a country and withdraw their funds, they will seek their luck elsewhere and thus they increase the supply of that currency. This happened most dramatically in recent time with the Icelandic Krona."
Is socialtrend.com or/and feelthetrend.com legitimate? ,"It's called a ""Pyramid scheme"". Its illegal in almost every country of the Western world. You're not going to earn lifetime income, of course, and these things collapse pretty quickly. Most of the ""common folks"" don't return the investment, its the organizers who take the money. Sometimes they run, most times they end up in jail. The way these schemes work is that they pay the early ""investors"" from the fees paid by new ""investors"". As long as a steady stream of new people keep signing up and paying into it those who got in very early make money. The idea is based on the geometric procession of each new person signing up two or more people, and those people doing the same. Pretty quickly at that rate you need to sign up every human being on the planet to keep the new money flowing in to make it work, which obviously is not realistic. Ultimately a small % of the people (if they can stay out of jail) will make a big amount of money the vast majority of ""investors"" get stiffed."
How to learn about doing technical analysis?  Any suggested programs or tools that teach it?,"I recall the name Martin Pring. As my fundamental analysis book from grad school was the work of Graham and Dodd titled Security Analysis, Pring was the author of the books I read on technical analysis. If you've not read his work, your education has a ways to go before you hit the tools."
What accounted for DXJR's huge drop in stock price?,"Imagine you have a bank account with $100 in it. You are thinking about selling this bank account, so ask for some bids on what it's worth. You get quotes of around $100. You decide to sell it, but before you do, you take $50 out of it to have in cash. Would you expect the market to still pay $100 for the account? The dividend is effectively the cash being withdrawn. The stock had on account a large amount of cash (which was factored into it's share price), it moved that cash out of it's account (to its shareholders), and as a result the stock instantly becomes priced lower as this cash is no longer part of it, just as it is in the bank account example."
How does refinancing work?,"Since there was no sale, where does the money actually come from? From the refinancing bank. It's a new loan. How does a bank profit from this, i.e. why would they willingly help someone lower their mortgage payments? Because they sell a new loan. Big banks usually sell the mortgage loans to the institutional investors and only service them. So by creating a new loan - they create another product they can sell. The one they previously sold already brought them profits, and they don't care about it. The investors won't get the interest they could have gotten had the loan been held the whole term, but they spread the investments so that each refi doesn't affect them significantly. Credit unions usually don't sell their mortgages, but they actually do have the interest to help you reduce your payments - you're their shareholder. In any case, the bank that doesn't sell the mortgages can continue making profits, because with the money released (the paid-off loan) they can service another borrower."
Can a car company refuse to give me a copy of my contract or balance details?,"The advice above is generally good, but the one catch I haven't seen addressed is which specific laws apply.  You said that you are in Arkansas, but the dealer is in Texas.  This means that the laws of at least two different states are in play, possibly three if the contract contains a clause stating that disputes will be handled in a certain jurisdiction, and you are going to have to do some research to figure out what actually applies.   One thing that may significantly impact this issue is whether you were in TX or AR when you signed the contracts.  If you borrowed the money in TX, and the lender is in TX, then it is almost certain that the laws of Texas will govern.  However, if you were living in AR at the time you acquired the loan, particularly if you were in AR when you signed the papers, you have a decent case for claiming that the laws of Arkansas govern.  I don't know enough about either state to know if one is more favorable to the consumer than the other, but it is a question you really want to have answered.  That said, I would be shocked if any state did not have provisions requiring the lender to provide a copy of the terms and a detailed statement of the account and transaction history upon request.  Spend some time on the web site of the Texas attorney general and/or legislator (because that is where the lender is, they are more likely to respect Texas law) to see if you can track down any specific laws or codes that you can reference.  You might also look into the federal consumer protection laws, though I can't think of one off hand that would apply in the scenario you have described.   Then work on putting together a letter asking them to provide a copy of the contract and a full history of the account.  As others noted, make sure you send it certified/return receipt, or better yet use a private carrier such as fedex, and check the box about requiring a signature. Above all you need to get the dialog transferred to a written form.  I can not stress this point enough.  Everything you tell them or ask for from here out needs to be done in a written format.  If they call you about anything, tell them you want to see their issue/offer in writing before you will consider it. You do not necessarily need a lawyer to do any of this, but you do need to know the applicable laws.  Do the research to know what your legal standing is.  Involve a lawyer if you feel you need to, but I have successfully battled several large utility companies and collection agencies into behaving without needing one."
Auto loan: must make X payments before payoff,"Paperwork prevails.  What you have is a dealer who get a kickback for sending financing to that institution. And the dealer pretty much said ""We only get paid our kickback at two levels of loan life, 6 and 12 months."" You just didn't quite read between the lines.  This is very similar to the Variable Annuity salespeople who tell their clients, ""The best feature about this product is that the huge commissions I get from the sale fund my kid's college tuition and my own retirement. You, on the other hand, don't really do so well.""  Car salesmen and VA sellers."
What are a few sites that make it easy to invest in high interest rate mutual funds?,Are you looking for something like Morningstar.com?   They provide information about lots of mutual funds so you can search based on many factors and find good candidate mutual funds. Use their fund screener to pick funds with long track records of beating the S&P500.
Calculating Pre-Money Valuation for Startup,"Putting a dollar amount on the valuation of a start up business is an art form that often has very little at all to do with any real numbers and more to do with your ""salesman"" abilities when talking with the VC. That said, there are a few starting points: First is past sales, the cost of those sales and a (hopefully) realistic growth curve.  However, you don't have that so this gets harder. Do you have any actual assets?  Machinery, computers, desks, patents, etc.  Things that you actually own.  If so, then add those in.  If this is a software start-up, ""code"" is an asset, but without sales it's incredibly hard to put a value on it.  The best I've come up with is ""How much would it cost for someone else to build it .. after they've seen yours"".  Yes, you may have spent 5,000 hours building something but could someone else duplicate it, or at least the major parts, in 200 hours after seeing a demo?  Use the lower number. If I was you, I'd look hard at my business plan.  Hopefully you were as honest as you can be when writing it (and that it is as researched as possible).  What is it going to take to get that first sale?  What do you actually need to get there? (hint: your logo on the side of a building is NOT a necessary expense.  Nor is really nice office space.)  Once you have that first sale, what is the second going to take?  Can you extrapolate out to 3 years?  How many key members are there?  How much is their contribution worth?  At what point will you be profitable?   Next is to look at risks.  You haven't done this before, that's huge - I'm assuming simply because you asked this question.  Another is competitors - hopefully they already exist because opening a new market is incredibly hard and expensive; on the flip side, hopefully there aren't that many because entering a crowded market is equally hard and expensive.  Note: each are possible, but take radically different approaches and sums of money - and $200k isn't going to cut it no matter what it is you are selling. That said, competition should be able to at least point you in the direction of a price point and estimate for how long sales take.  If any are publicly traded then you have additional info to help you set a valuation.  Are there any potential regulatory or legal issues? What happens if a key member leaves, dies or is otherwise no longer available?  Insurance only helps so much if the one guy that knows everything literally gets run over.  God help you if this person likes to go skydiving. I bring risks up because you will have to surmount them during this negotiation.  For example, asking for $200k with zero hard assets, while trying to sell software to government agencies assuming a 3 week sales cycle will have you laughed at for naivety.  Whereas asking for $10m in the same situation, with a team that has governmental sales experience would likely work. Another big question is exit strategy: do you intend to IPO or sell to a competitor or a business in a related category?  If selling, do you have evidence that the target company actually buys others, and if so, how did those deals work out?  What did they look for in order to buy?  Exit strategy is HUGE to a VC and they will want to make several multiples of their money back in a relatively short amount of time.  Can you realistically support that for how much you are asking for?  If not then going through an Angel group would be better.  They have similar questions, but very different expectations. The main thing is that no one knows what your business is worth because it is 100% unproven after 2 years and is therefore a huge financial risk.  If the money you are asking for is to complete product development then that risk factor just went up radically as you aren't even talking about sales.  If the money is purely for the sales channel, then it's likely not enough. However if you know what it's going to take to get that first sale and have at least an educated idea on how much it's going to cost to repeat that then you should have an idea for how much money you want.  From there you need to decide how much of the business it is worth to you to give up in order to get that money and, voila, you have a ""pre money valuation"". The real trick will be to convince the VC that you are right (which takes research and a rock solid presentation) and negotiating from there.  No matter what offer a small percentage of the business for the money you want and realize you'll likely give up much more than that. A few things you should know: usually by year 3 it's apparent if a start-up is going to work out or not.  You're in year 2 with no sales. That doesn't look good unless you are building a physical product, have a competent team with hard experience doing this, have patents (at least filed), a proven test product, and (hopefully) have a few pre-orders and just need cash to deliver.  Although in that situation, I'd probably tell you to ask your friends and family before talking to a VC.  Even kickstarter.com would be better.   $200k just isn't a lot of money and should be very easy to raise from Friends or Angels.  If you can't then that speaks volumes to an institutional VC.  A plus is having two or three people financially invested in the company; more than that is sometimes a problem while having only 1 is a red flag. If it's a web thing and you've been doing this for 2 years with zero sales and still need another $200k to complete it then I'd say you need to take a hard look at what you've built and take it to market right now.  If you can't do that, then I'd say it might be time to abandon this idea and move on as you'll likely have to give up 80%+ to get that $200k and most VCs I've run into wouldn't bother at that level.  Which begs the question: how did the conversation with the VC start?  Did you approach them or did they approach you?  If the latter, how did they even find out about you?  Do they actually know anything about you or is this a fishing expedition?  If the latter, then this is probably a complete waste of your time. The above is only a rough guide because at the end of the day something is only worth what someone else is willing to pay.  $200k in cash is a tiny sum for most VCs, so without more information I have no clue why one would be interested in you. I put a number of hard questions and statements in here.  I don't actually want you to answer me, those are for you to think about.  Also, none of this shouldn't be taken as a discouragement, rather it should shock you into a realistic viewpoint and, hopefully, help you understand how others are going to see your baby.   If the VC has done a bit of research and is actually interested in investing then they will bring up all the same things (and likely more) in order to convince you to give up a very large part of it.  The question you have to ask yourself is: is it worth it?  Sometimes it is, often it's not."
Do I even need credit cards?,"Try to buy an airline ticket, rent a hotel room, or rent a car without a credit card. Doable? Perhaps. Easy? Nope. With a debit card, you run the risk of a hotel reserving more than your stay's cost for room service, parking, etc and potentially having a domino effect if other payments bounce.  We just spent 3 nights in NYC, room was just over $1000. Do I really want to carry that much cash?"
